"Iteration","Mult_ESI1","Mult_ESI5","Weight_ESI1","Weight_ESI5","Accuracy","Macro_Prec","Macro_Rec","Macro_F1","Prec_ESI1","Rec_ESI1","Prec_ESI5","Rec_ESI5","Prec_Neither","Rec_Neither"
48,4,2.5,423.43,49.84,0.026,0.3435,0.3514,0.3474,0.0101,0.9911,0.0384,0.0479,0.9819,0.0152
49,0.2,3,21.17,59.8,0.1575,0.3637,0.3711,0.3674,0.0566,0.019,0.0554,0.9793,0.9791,0.1151
50,0.5,3,52.93,59.8,0.1125,0.3559,0.4397,0.3934,0.0254,0.3013,0.0579,0.9519,0.9846,0.0659
51,1,3,105.86,59.8,0.1,0.3567,0.5008,0.4167,0.0169,0.6772,0.068,0.7666,0.9853,0.0587
52,1.5,3,158.79,59.8,0.0812,0.3562,0.4747,0.407,0.0138,0.8266,0.0707,0.5488,0.9841,0.0488
53,2,3,211.72,59.8,0.06,0.3539,0.4298,0.3882,0.0123,0.9152,0.0645,0.3378,0.9849,0.0366
54,2.5,3,264.65,59.8,0.0435,0.3522,0.4052,0.3768,0.0114,0.9405,0.0626,0.2515,0.9824,0.0234
55,3,3,317.58,59.8,0.0354,0.3513,0.3842,0.367,0.0108,0.9633,0.0595,0.1703,0.9835,0.0189
56,4,3,423.43,59.8,0.0201,0.3437,0.3501,0.3469,0.0101,0.9911,0.0367,0.0503,0.9844,0.0088
57,0.2,4,21.17,79.74,0.1015,0.3643,0.3555,0.3598,0.0566,0.019,0.0527,0.9926,0.9836,0.0548
58,0.5,4,52.93,79.74,0.0922,0.356,0.4347,0.3914,0.0254,0.3013,0.0569,0.959,0.9857,0.0439
59,1,4,105.86,79.74,0.0797,0.3567,0.4959,0.4149,0.0169,0.6772,0.0662,0.7737,0.987,0.0367
60,1.5,4,158.79,79.74,0.061,0.3556,0.4698,0.4048,0.0138,0.8266,0.0679,0.5557,0.9851,0.027
61,2,4,211.72,79.74,0.0416,0.3531,0.4251,0.3858,0.0123,0.9152,0.0612,0.3435,0.9858,0.0167
62,2.5,4,264.65,79.74,0.0328,0.3509,0.4025,0.3749,0.0114,0.9405,0.0602,0.2551,0.9811,0.0119
63,3,4,317.58,79.74,0.0252,0.3505,0.3817,0.3654,0.0108,0.9633,0.0566,0.1739,0.984,0.0078
64,4,4,423.43,79.74,0.0147,0.3471,0.3489,0.348,0.0101,0.9911,0.0355,0.0526,0.9956,0.0028
