Model,Overall_Accuracy,Balanced_Accuracy,Critical_Sensitivity_Recall,NonCritical_Specificity,Critical_Precision,Critical_F1,ROC_AUC,PR_AUC
Random Forest (with Calibrator),0.6415,0.6212,0.5911,0.6512,0.2473,0.3488,0.6692,0.3109
Logistic Regression (Stand-alone),0.647,0.6159,0.5699,0.6619,0.2463,0.344,0.6588,0.2978
