Model,Overall_Accuracy,Balanced_Accuracy,RED_Sensitivity (ESI 1),YELLOW_Sensitivity (ESI 2-3),GREEN_Sensitivity (ESI 4-5),RED_Specificity,YELLOW_Specificity,GREEN_Specificity,Macro_ROC_AUC,RED_ROC_AUC,YELLOW_ROC_AUC,GREEN_ROC_AUC
Baseline RF (with SMOTE),0.6306,0.4364,0.1181,0.7235,0.4677,0.9596,0.483,0.7734,0.6469,0.6219,0.6402,0.6785
Dual-SMOTE Cascade (L1 LightGBM -> L2 LightGBM),0.6573,0.4383,0.1024,0.7845,0.428,0.9821,0.4302,0.8072,0.652,0.6166,0.6526,0.6867
