Model,Overall_Accuracy,Balanced_Accuracy,RED_Sensitivity (ESI 1),YELLOW_Sensitivity (ESI 2-3),GREEN_Sensitivity (ESI 4-5),RED_Specificity,YELLOW_Specificity,GREEN_Specificity,Macro_ROC_AUC,RED_ROC_AUC,YELLOW_ROC_AUC,GREEN_ROC_AUC
Random Forest (with SMOTE),0.6306,0.4364,0.1181,0.7235,0.4677,0.9596,0.483,0.7734,0.6469,0.6219,0.6402,0.6785
LightGBM (with Regularized Calibrator),0.4636,0.4604,0.3937,0.4061,0.5814,0.7794,0.7311,0.6622,0.6513,0.6435,0.6342,0.6763
