Acuity_Class,Sensitivity_Recall,Specificity,Balanced_Accuracy,ROC_AUC
RED,0.1181,0.9596,0.5389,0.6219
YELLOW,0.7235,0.483,0.6032,0.6402
GREEN,0.4677,0.7734,0.6206,0.6785
Macro_Average,0.4364,0.7387,0.5876,0.6469
