ESI_Class,Sensitivity_Recall,Specificity,Balanced_Accuracy,ROC_AUC
ESI 1 (ESI 1),0.0952,0.9775,0.5364,0.7063
ESI 2 (ESI 2),0.2458,0.9102,0.578,0.6495
ESI 3 (ESI 3),0.6479,0.4706,0.5593,0.572
ESI 4 (ESI 4),0.342,0.8087,0.5753,0.6567
ESI 5 (ESI 5),0.0435,0.9623,0.5029,0.5722
Macro_Average,0.2749,0.8259,0.5504,0.6313
